Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Publisher_Range
306,Donkey Kong Land,ANT,1994.0,Action,1.97,0.76,1.07,0.11,3.91,501-1400
309,Monster Hunter 4 Ultimate,PMOD,2014.0,Misc,0.67,0.49,2.62,0.11,3.89,501-1400
317,Flash Focus: Vision Training in Minutes a Day,PMOD,2007.0,Misc,0.87,1.57,1.05,0.35,3.84,501-1400
319,The Legend of Zelda: Link's Awakening,ANT,1992.0,Action,2.21,0.96,0.54,0.13,3.83,501-1400
320,Mario & Luigi: Bowser's Inside Story,PMOD,2009.0,Misc,2.26,0.48,0.81,0.27,3.83,501-1400
321,Big Brain Academy: Wii Degree,PMOD,2007.0,Misc,1.06,1.93,0.41,0.43,3.82,501-1400
322,Nintendogs + cats,PMOD,2011.0,Misc,1.44,1.37,0.73,0.27,3.81,501-1400
330,Super Paper Mario,PMOD,2007.0,Action,1.98,0.88,0.59,0.32,3.76,501-1400
336,Pokémon Trading Card Game,ANT,1998.0,Strategy,1.49,0.73,1.38,0.1,3.7,501-1400
339,Friend Collection,PMOD,2009.0,Misc,0.0,0.0,3.67,0.0,3.67,501-1400
342,Banjo-Kazooie,MOD,1998.0,Action,1.87,1.13,0.55,0.1,3.65,501-1400
347,Pokemon Snap,MOD,1999.0,Misc,2.23,0.68,0.66,0.06,3.63,501-1400
357,Luigi's Mansion,ANT,2001.0,Action,2.38,0.67,0.46,0.1,3.6,501-1400
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,ANT,1996.0,Action,1.17,0.5,1.75,0.08,3.51,501-1400
375,Kung Fu,ANT,1985.0,Action,1.64,0.38,1.42,0.06,3.5,501-1400
377,Clubhouse Games,PMOD,2006.0,Misc,0.59,1.83,0.73,0.35,3.5,501-1400
392,F-1 Race,ANT,1990.0,Sports,1.73,0.69,0.59,0.4,3.41,501-1400
397,The Legend of Zelda: Spirit Tracks,PMOD,2009.0,Action,1.43,0.94,0.74,0.27,3.38,501-1400
399,The Legend of Zelda: Majora's Mask,MOD,2000.0,Action,1.9,0.67,0.73,0.06,3.36,501-1400
400,Professor Layton and the Unwound Future,PMOD,2008.0,Strategy,0.65,1.61,0.82,0.28,3.36,501-1400
403,English Training: Have Fun Improving Your Skills!,PMOD,2006.0,Misc,0.0,0.99,2.32,0.02,3.33,501-1400
406,Mario Party 9,PMOD,2012.0,Misc,1.15,1.17,0.76,0.24,3.32,501-1400
413,Wii Music,PMOD,2008.0,Misc,1.36,1.13,0.46,0.32,3.27,501-1400
420,Yokai Watch 2 Ganso/Honke,PMOD,2014.0,Misc,0.03,0.0,3.18,0.0,3.22,501-1400
422,Baseball,ANT,1983.0,Sports,0.73,0.1,2.35,0.02,3.2,501-1400
423,Killer Instinct,ANT,1995.0,Action,2.26,0.72,0.12,0.1,3.2,501-1400
430,Super Mario Maker,PMOD,2015.0,Action,1.18,0.87,0.93,0.2,3.18,501-1400
433,Rhythm Heaven,PMOD,2008.0,Misc,0.58,0.51,1.93,0.14,3.17,501-1400
436,Animal Crossing,ANT,2001.0,Misc,1.92,0.16,0.99,0.09,3.15,501-1400
444,Star Wars Episode I Racer,MOD,1999.0,Sports,2.31,0.62,0.14,0.04,3.12,501-1400
445,Personal Trainer: Cooking,PMOD,2006.0,Misc,0.91,1.0,1.03,0.17,3.12,501-1400
455,The Legend of Zelda: A Link Between Worlds,PMOD,2013.0,Action,1.4,0.99,0.46,0.22,3.07,501-1400
456,Donkey Kong,ANT,1994.0,Action,1.57,0.62,0.55,0.34,3.07,501-1400
466,Mike Tyson's Punch-Out!!,ANT,1987.0,Action,2.03,0.47,0.45,0.07,3.02,501-1400
473,Star Fox,ANT,1993.0,Action,1.61,0.51,0.8,0.07,2.99,501-1400
477,Animal Crossing: Happy Home Designer,PMOD,2015.0,Misc,0.47,1.0,1.39,0.12,2.98,501-1400
482,Kirby Super Star Ultra,PMOD,2008.0,Action,1.57,0.04,1.19,0.15,2.96,501-1400
485,Wave Race 64,MOD,1996.0,Sports,1.98,0.58,0.34,0.04,2.94,501-1400
491,WarioWare: Smooth Moves,PMOD,2006.0,Strategy,0.87,1.06,0.73,0.26,2.92,501-1400
493,Super Mario World 2: Yoshi's Island,MOD,2002.0,Action,1.75,0.45,0.62,0.09,2.91,501-1400
510,F-Zero,ANT,1990.0,Sports,1.37,0.51,0.89,0.07,2.85,501-1400
511,Yoshi's Story,MOD,1997.0,Action,1.29,0.53,0.98,0.05,2.85,501-1400
520,Metroid Prime,ANT,2002.0,Action,1.96,0.67,0.1,0.09,2.82,501-1400
527,Yoshi's Island DS,PMOD,2006.0,Action,1.47,0.07,1.1,0.15,2.8,501-1400
536,Professor Layton and the Last Specter,PMOD,2009.0,Strategy,0.3,1.47,0.68,0.34,2.79,501-1400
537,Monster Hunter Tri,PMOD,2011.0,Misc,0.46,0.29,1.96,0.07,2.79,501-1400
546,Mario Paint,ANT,1992.0,Misc,1.43,0.54,0.71,0.07,2.75,501-1400
548,Pokémon Stadium 2,MOD,2000.0,Strategy,1.02,0.36,1.13,0.23,2.73,501-1400
549,Metroid,ANT,1986.0,Action,1.33,0.31,1.04,0.05,2.73,501-1400
552,The Legend of Zelda: A Link to the Past,MOD,2002.0,Action,1.75,0.52,0.33,0.1,2.7,501-1400
555,Mario Party,MOD,1998.0,Misc,1.25,0.53,0.87,0.05,2.7,501-1400
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,PMOD,2010.0,Strategy,1.63,0.52,0.35,0.18,2.69,501-1400
574,Super Mario Bros.: The Lost Levels,ANT,1986.0,Action,0.0,0.0,2.65,0.0,2.65,501-1400
575,Star Wars: Shadows of the Empire,MOD,1996.0,Action,2.0,0.5,0.12,0.03,2.65,501-1400
582,Mario Strikers Charged,PMOD,2007.0,Sports,1.07,1.06,0.24,0.25,2.62,501-1400
586,Style Savvy,PMOD,2008.0,Misc,0.63,0.84,0.96,0.19,2.61,501-1400
588,Super Mario All-Stars: Limited Edition,PMOD,2010.0,Action,1.02,0.52,0.92,0.14,2.6,501-1400
599,Art Academy,PMOD,2010.0,Misc,0.28,1.68,0.33,0.28,2.57,501-1400
605,Pokémon Colosseum,ANT,2003.0,Misc,1.21,0.57,0.7,0.07,2.54,501-1400
610,Perfect Dark,MOD,2000.0,Action,1.55,0.75,0.16,0.06,2.52,501-1400
616,Mario Party 2,MOD,1999.0,Misc,1.28,0.14,1.08,0.01,2.5,501-1400
627,Mario Party 4,ANT,2002.0,Misc,1.13,0.36,0.92,0.07,2.47,501-1400
639,Ice Hockey,ANT,1988.0,Sports,1.27,0.32,0.78,0.05,2.42,501-1400
648,Pro Wrestling,ANT,1987.0,Action,0.77,0.18,1.42,0.03,2.4,501-1400
672,Kirby's Dream Land 2,ANT,1995.0,Action,0.69,0.14,1.48,0.05,2.36,501-1400
674,Donkey Kong Land II,ANT,1996.0,Action,1.39,0.48,0.4,0.08,2.35,501-1400
682,The Legend of Zelda: Majora's Mask 3D,PMOD,2015.0,Action,1.14,0.54,0.47,0.17,2.32,501-1400
685,Mario Tennis,MOD,2000.0,Sports,0.78,0.4,1.06,0.07,2.32,501-1400
688,WarioWare Touched!,PMOD,2004.0,Strategy,0.52,0.45,1.21,0.13,2.31,501-1400
694,Pokemon Ranger: Shadows of Almia,PMOD,2008.0,Misc,0.95,0.54,0.62,0.18,2.3,501-1400
702,Mario Bros.,ANT,1983.0,Action,0.51,0.12,1.63,0.02,2.28,501-1400
707,Paper Mario: Sticker Star,PMOD,2012.0,Misc,1.12,0.39,0.64,0.12,2.27,501-1400
710,Kirby: Nightmare in Dream Land,MOD,2002.0,Action,1.22,0.1,0.91,0.04,2.27,501-1400
711,Wario Land 4,MOD,2001.0,Action,0.9,0.73,0.54,0.09,2.26,501-1400
718,Paper Mario: The Thousand-Year Door,ANT,2004.0,Misc,1.48,0.25,0.46,0.06,2.25,501-1400
720,Monster Hunter Tri,PMOD,2009.0,Misc,0.67,0.41,1.05,0.11,2.25,501-1400
727,New Super Luigi U,PMOD,2013.0,Action,1.27,0.62,0.18,0.16,2.22,501-1400
730,The Legend of Zelda: Link's Awakening DX,ANT,1998.0,Misc,1.0,0.63,0.45,0.13,2.22,501-1400
738,Wario Land 3,ANT,2000.0,Action,1.11,0.51,0.34,0.23,2.2,501-1400
745,Kirby's Pinball Land,ANT,1992.0,Misc,0.87,0.17,1.1,0.05,2.19,501-1400
746,Donkey Kong Country,ANT,2000.0,Action,1.04,0.72,0.3,0.13,2.19,501-1400
752,Pokemon Ranger,PMOD,2006.0,Misc,1.29,0.04,0.73,0.12,2.18,501-1400
753,Mario & Luigi: Superstar Saga,MOD,2003.0,Misc,1.48,0.17,0.47,0.06,2.17,501-1400
755,Star Wars: Rogue Squadron,MOD,1998.0,Misc,1.6,0.46,0.08,0.03,2.17,501-1400
756,Tennis,ANT,1984.0,Sports,0.48,0.11,1.56,0.02,2.17,501-1400
761,Volleyball,ANT,1987.0,Sports,0.14,0.03,1.98,0.0,2.15,501-1400
764,Super Mario RPG: Legend of the Seven Stars,ANT,1996.0,Misc,0.66,0.0,1.45,0.03,2.14,501-1400
765,Mahjong,ANT,1983.0,Misc,0.01,0.0,2.13,0.0,2.14,501-1400
766,R.C. Pro-Am,ANT,1988.0,Sports,1.47,0.38,0.19,0.1,2.14,501-1400
770,Tetris DS,PMOD,2006.0,Strategy,0.64,0.07,1.35,0.08,2.13,501-1400
775,Kirby's Epic Yarn,PMOD,2010.0,Action,1.47,0.09,0.45,0.11,2.12,501-1400
777,Golf,ANT,1989.0,Sports,0.83,0.33,0.92,0.04,2.12,501-1400
783,Mario Sports Mix,PMOD,2010.0,Sports,0.9,0.45,0.63,0.13,2.11,501-1400
805,Mario Party 5,ANT,2003.0,Misc,0.97,0.33,0.73,0.06,2.08,501-1400
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,MOD,2005.0,Misc,0.71,0.52,0.74,0.08,2.06,501-1400
822,Mario & Luigi: Dream Team,PMOD,2013.0,Misc,0.89,0.57,0.46,0.13,2.06,501-1400
826,Pokémon Mystery Dungeon: Blue Rescue Team,PMOD,2005.0,Misc,1.16,0.06,0.83,0.0,2.05,501-1400
836,Donkey Kong Country,MOD,2003.0,Action,1.2,0.48,0.29,0.07,2.04,501-1400
839,1080°: TenEighty Snowboarding,MOD,1998.0,Sports,1.25,0.61,0.13,0.05,2.03,501-1400
849,Fire Emblem: Awakening,PMOD,2012.0,Misc,0.89,0.45,0.53,0.13,2.0,501-1400
851,Super Street Fighter II,ANT,1993.0,Action,0.52,0.16,1.29,0.03,2.0,501-1400
854,Tennis,ANT,1989.0,Sports,0.75,0.3,0.9,0.04,1.99,501-1400
857,SimCity,ANT,1991.0,Misc,0.93,0.27,0.75,0.04,1.98,501-1400
869,Rad Racer,ANT,1986.0,Sports,1.13,0.37,0.41,0.05,1.96,501-1400
870,Soccer,ANT,1985.0,Sports,0.18,0.23,1.53,0.02,1.96,501-1400
871,Kirby Squeak Squad,PMOD,2006.0,Action,0.79,0.03,1.05,0.08,1.96,501-1400
882,Alleyway,ANT,1989.0,Strategy,0.96,0.38,0.55,0.05,1.94,501-1400
891,Tetris DX,ANT,1998.0,Strategy,1.06,0.6,0.2,0.07,1.93,501-1400
894,Mario Super Sluggers,PMOD,2008.0,Sports,1.51,0.0,0.29,0.12,1.93,501-1400
896,The Legend of Zelda: Oracle of Ages,ANT,2001.0,Action,0.92,0.53,0.41,0.06,1.92,501-1400
904,Mario Party 3,MOD,2000.0,Misc,0.72,0.16,1.01,0.02,1.91,501-1400
913,Yokai Watch,PMOD,2013.0,Misc,0.21,0.3,1.33,0.04,1.89,501-1400
921,Star Fox Adventures,ANT,2002.0,Misc,0.96,0.53,0.3,0.09,1.87,501-1400
924,Donkey Kong Country Returns,PMOD,2013.0,Action,0.73,0.62,0.4,0.12,1.87,501-1400
925,The Legend of Zelda: Oracle of Seasons,ANT,2001.0,Misc,0.87,0.52,0.41,0.06,1.86,501-1400
936,Mario Party: Island Tour,PMOD,2013.0,Misc,0.61,0.59,0.55,0.11,1.85,501-1400
940,Pinball,ANT,1984.0,Action,0.8,0.19,0.83,0.03,1.85,501-1400
945,"Hey You, Pikachu!",MOD,1998.0,Misc,0.83,0.06,0.93,0.0,1.83,501-1400
953,Kirby: Triple Deluxe,PMOD,2014.0,Action,0.61,0.34,0.79,0.09,1.82,501-1400
957,Metroid Prime 3: Corruption,PMOD,2007.0,Action,0.91,0.74,0.07,0.09,1.82,501-1400
958,Dragon Quest VI: Realms of Revelation,PMOD,2010.0,Misc,0.22,0.21,1.35,0.03,1.81,501-1400
977,Professor Layton and the Mask of Miracle,PMOD,2011.0,Strategy,0.32,0.95,0.36,0.14,1.78,501-1400
980,The Legend of Zelda: The Wind Waker,PMOD,2013.0,Action,0.93,0.57,0.14,0.13,1.77,501-1400
983,Wii Party U,PMOD,2013.0,Misc,0.31,0.54,0.84,0.08,1.77,501-1400
986,Kirby 64: The Crystal Shards,MOD,2000.0,Action,0.63,0.06,1.03,0.04,1.77,501-1400
989,Metroid II: Return of Samus,ANT,1991.0,Misc,0.85,0.31,0.56,0.04,1.76,501-1400
992,Golden Sun,MOD,2001.0,Misc,0.93,0.38,0.4,0.06,1.76,501-1400
994,Kid Icarus,ANT,1986.0,Action,0.53,0.12,1.09,0.02,1.76,501-1400
1010,Yoshi,ANT,1991.0,Strategy,0.7,0.13,0.91,0.01,1.75,501-1400
1012,Kirby's Adventure,ANT,1993.0,Action,0.79,0.14,0.8,0.02,1.75,501-1400
1022,Cruis'n USA,MOD,1996.0,Sports,1.69,0.04,0.0,0.01,1.74,501-1400
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,PMOD,2006.0,Misc,0.0,0.0,1.71,0.0,1.71,501-1400
1054,Personal Trainer: Math,PMOD,2007.0,Strategy,0.49,1.12,0.0,0.09,1.7,501-1400
1055,Kirby's Return to Dreamland,PMOD,2011.0,Action,0.62,0.21,0.79,0.08,1.7,501-1400
1078,Yoshi's Cookie,ANT,1992.0,Strategy,0.59,0.24,0.82,0.03,1.68,501-1400
1083,Metroid Fusion,MOD,2002.0,Action,1.18,0.27,0.17,0.06,1.68,501-1400
1109,Mario Party 6,ANT,2004.0,Misc,0.9,0.11,0.6,0.05,1.65,501-1400
1110,Super Scope 6,ANT,1991.0,Action,1.06,0.38,0.15,0.05,1.65,501-1400
1115,Kirby & the Amazing Mirror,MOD,2004.0,Action,0.8,0.05,0.76,0.03,1.64,501-1400
1127,Pikmin,ANT,2001.0,Strategy,0.78,0.25,0.56,0.04,1.63,501-1400
1138,Mario Hoops 3 on 3,PMOD,2006.0,Sports,0.99,0.04,0.49,0.1,1.62,501-1400
1139,Kirby Air Ride,ANT,2003.0,Sports,1.01,0.11,0.45,0.04,1.62,501-1400
1141,Pokemon Battle Revolution,PMOD,2006.0,Misc,0.8,0.38,0.3,0.13,1.61,501-1400
1144,Baseball,ANT,1989.0,Sports,0.66,0.27,0.65,0.03,1.61,501-1400
1146,Super Mario Strikers,ANT,2005.0,Sports,0.98,0.38,0.2,0.04,1.61,501-1400
1162,The Legend of Zelda: Twilight Princess,ANT,2006.0,Action,1.15,0.36,0.04,0.04,1.59,501-1400
1180,Pokemon Mystery Dungeon: Explorers of Sky,PMOD,2009.0,Misc,0.58,0.44,0.44,0.12,1.58,501-1400
1185,Mario Party 7,ANT,2005.0,Misc,0.95,0.11,0.46,0.04,1.57,501-1400
1189,Donkey Kong Classics,ANT,1988.0,Action,0.59,0.14,0.81,0.02,1.56,501-1400
1194,Pokemon Pinball: Ruby & Sapphire,MOD,2003.0,Misc,0.68,0.38,0.44,0.05,1.56,501-1400
1209,Mario Party 10,PMOD,2015.0,Misc,0.69,0.5,0.24,0.11,1.55,501-1400
1212,Fire Emblem Fates,PMOD,2015.0,Misc,0.71,0.22,0.52,0.1,1.54,501-1400
1227,Mario Golf: Toadstool Tour,ANT,2003.0,Sports,1.09,0.15,0.25,0.04,1.53,501-1400
1229,Donkey Kong Country: Tropical Freeze,PMOD,2014.0,Action,0.73,0.52,0.15,0.12,1.52,501-1400
1235,F1 Race,ANT,1984.0,Sports,0.0,0.0,1.52,0.0,1.52,501-1400
1262,Ice Climber,ANT,1985.0,Action,0.46,0.1,0.92,0.02,1.5,501-1400
1269,Final Fantasy: Crystal Chronicles,ANT,2003.0,Misc,0.72,0.38,0.36,0.04,1.49,501-1400
1273,Banjo-Tooie,MOD,2000.0,Action,0.82,0.36,0.25,0.06,1.49,501-1400
1277,New Play Control! Mario Power Tennis,PMOD,2009.0,Sports,0.37,0.69,0.28,0.14,1.48,501-1400
1280,Nintendo World Cup,ANT,1990.0,Sports,0.28,0.5,0.65,0.05,1.48,501-1400
1282,Wario Land II,ANT,1997.0,Action,0.7,0.35,0.39,0.04,1.48,501-1400
1290,Mario Golf,MOD,1999.0,Action,0.62,0.18,0.65,0.02,1.47,501-1400
